resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states
ModelCardExportJob,resource,"['create', 'get', 'list']","['refresh', 'wait']",['ModelCard'],[],"['CreateModelCardExportJob', 'DescribeModelCardExportJob', 'ListModelCardExportJobs']","[{'name': 'Status', 'shape_name': 'ModelCardExportJobStatus'}]","['InProgress', 'Completed', 'Failed']"
ModelExplainabilityJobDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelExplainabilityJobDefinition', 'DeleteModelExplainabilityJobDefinition', 'DescribeModelExplainabilityJobDefinition', 'ListModelExplainabilityJobDefinitions']",[],[]
ModelPackage,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",['ModelPackageGroup'],['BatchDescribeModelPackage'],"['BatchDescribeModelPackage', 'CreateModelPackage', 'DeleteModelPackage', 'DescribeModelPackage', 'ListModelPackages', 'UpdateModelPackage']","[{'name': 'ModelPackageStatus', 'shape_name': 'ModelPackageStatus'}]","['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting']"
ModelPackageGroup,resource,"['create', 'get', 'list']","['delete', 'refresh', 'wait_for_status']",[],[],"['CreateModelPackageGroup', 'DeleteModelPackageGroup', 'DescribeModelPackageGroup', 'ListModelPackageGroups']","[{'name': 'ModelPackageGroupStatus', 'shape_name': 'ModelPackageGroupStatus'}]","['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting', 'DeleteFailed']"
ModelQualityJobDefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateModelQualityJobDefinition', 'DeleteModelQualityJobDefinition', 'DescribeModelQualityJobDefinition', 'ListModelQualityJobDefinitions']",[],[]
MonitoringSchedule,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update', 'wait_for_status']",[],[],"['CreateMonitoringSchedule', 'DeleteMonitoringSchedule', 'DescribeMonitoringSchedule', 'ListMonitoringSchedules', 'StartMonitoringSchedule', 'StopMonitoringSchedule', 'UpdateMonitoringSchedule']","[{'name': 'MonitoringScheduleStatus', 'shape_name': 'ScheduleStatus'}]","['Pending', 'Failed', 'Scheduled', 'Stopped']"
NotebookInstance,resource,"['create', 'get', 'list', 'start']","['delete', 'refresh', 'stop', 'update', 'wait_for_status']",[],[],"['CreateNotebookInstance', 'DeleteNotebookInstance', 'DescribeNotebookInstance', 'ListNotebookInstances', 'StartNotebookInstance', 'StopNotebookInstance', 'UpdateNotebookInstance']","[{'name': 'NotebookInstanceStatus', 'shape_name': 'NotebookInstanceStatus'}]","['Pending', 'InService', 'Stopping', 'Stopped', 'Failed', 'Deleting', 'Updating']"
NotebookInstanceLifecycleConfig,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateNotebookInstanceLifecycleConfig', 'DeleteNotebookInstanceLifecycleConfig', 'DescribeNotebookInstanceLifecycleConfig', 'ListNotebookInstanceLifecycleConfigs', 'UpdateNotebookInstanceLifecycleConfig']",[],[]
Pipeline,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update', 'wait_for_status']",[],[],"['CreatePipeline', 'DeletePipeline', 'DescribePipeline', 'ListPipelines', 'UpdatePipeline']","[{'name': 'PipelineStatus', 'shape_name': 'PipelineStatus'}]","['Active', 'Deleting']"
PipelineExecution,resource,"['get', 'list', 'start']","['refresh', 'stop', 'update', 'wait_for_status']",[],['RetryPipelineExecution'],"['DescribePipelineExecution', 'ListPipelineExecutions', 'RetryPipelineExecution', 'StartPipelineExecution', 'StopPipelineExecution', 'UpdatePipelineExecution']","[{'name': 'PipelineExecutionStatus', 'shape_name': 'PipelineExecutionStatus'}]","['Executing', 'Stopping', 'Stopped', 'Failed', 'Succeeded']"
